filename,regnet_y_800mf,regnet_x_16gf,vgg13,vgg19,ViTB32,EfficientNetV2_l,EfficientNetb2,DenseNet169,regnet_x_800mf,ViTH14,EfficientNetb5,DenseNet121,ViTL16,Inception_v3,MNASNet0_5,vgg16_bn,ConvNeXt_large,MaxVit,wide_resnet101_2,swin_v2_b,shufflenet_v2_x0_5,vgg13_bn,EfficientNetb1,swin_s,EfficientNetb6,swin_t,vgg11_bn,regnet_y_16gf,MNASNet0_75,squeezenet1_0,resnet152,ConvNeXt_small,shufflenet_v2_x1_5,MNASNet1_3,swin_v2_s,ConvNeXt_base,resnext101_32x8d,vgg19_bn,regnet_x_8gf,swin_b,regnet_x_1_6gf,EfficientNetb4,regnet_x_400mf,resnet18,resnext50_32x4d,resnet50,regnet_y_32gf,resnext101_64x4d,EfficientNetb3,EfficientNetV2_m,EfficientNetV2_s,resnet34,MobileNet_v3_large,AlexNet,MobileNet_V2,regnet_y_1_6gf,regnet_y_400mf,swin_v2_t,wide_resnet50_2,shufflenet_v2_x1_0,ConvNeXt_tiny,resnet101,regnet_x_32gf,DenseNet201,vgg16,ViTB16,MNASNet1_0,regnet_x_3_2gf,regnet_y_8gf,EfficientNetb7,squeezenet1_1,regnet_y_128gf,MobileNet_v3_small,DenseNet161,GoogLeNet,EfficientNetb0,regnet_y_3_2gf,vgg11,shufflenet_v2_x2_0,ViTL32
n01440764_10026.JPEG,1.289,8.168,0.404,0.346,9.068,9.662,4.077,11.509,3.152,3.178,10.629,8.074,9.974,11.513,0.651,1.657,2.156,8.105,7.71,3.265,0.557,4.133,9.254,4.651,10.009,3.062,0.398,10.906,4.08,0.196,8.672,5.395,5.009,4.249,0.929,3.719,4.538,5.718,7.834,3.672,4.944,10.648,4.209,2.708,6.76,5.882,10.884,5.892,10.522,7.546,9.483,4.478,5.543,0.171,3.728,7.156,7.55,2.385,5.607,0.69,5.43,8.945,7.75,11.511,1.024,4.97,0.553,8.222,10.383,9.636,0.544,7.542,0.961,11.51,1.296,7.735,8.984,0.375,3.138,8.158
n01440764_10027.JPEG,9.372,11.489,9.311,11.189,11.175,6.65,9.309,11.513,9.449,0.506,11.435,11.513,10.569,11.513,0.309,11.508,9.59,9.122,11.494,9.131,1.874,7.752,10.96,9.305,10.338,2.625,8.738,11.266,6.539,0.345,11.486,10.173,11.367,9.08,9.098,8.909,11.291,11.507,11.504,4.373,8.991,14.906,7.587,8.067,15.028,11.514,9.17,11.896,11.976,4.748,9.62,6.651,7.35,2.095,8.374,8.503,7.197,8.351,11.138,4.076,10.689,11.478,11.483,11.513,3.919,4.313,1.467,11.465,11.221,11.43,0.63,8.416,0.312,11.513,9.027,8.172,9.506,7.807,11.421,6.29
n01440764_10029.JPEG,3.746,3.09,2.173,0.486,11.279,8.079,6.363,5.685,1.034,0.633,9.17,4.872,11.015,6.186,0.667,1.818,8.453,8.651,4.215,6.745,0.67,0.504,7.063,6.064,9.105,6.091,0.603,11.254,0.676,0.808,3.844,7.299,1,1.461,4.817,8.135,2.928,2.289,3.416,7.325,1.656,9.322,1.099,0.231,3.955,3.503,10.249,2.211,9.237,8.949,9.46,0.337,5.78,0.452,0.489,8.57,6.487,6.162,3.467,0.261,3.903,4.373,3.109,2.931,0.719,4.196,0.218,3.269,7.775,10.945,0.778,9.771,5.816,2.375,9.762,4.695,8.728,0.469,0.343,9.889
n01440764_10040.JPEG,9.458,3.853,0.583,0.822,9.921,8.125,10.375,1.942,1.034,0.48,9.022,5.28,9.077,3.962,0.359,2.406,8.323,7.66,3.779,4.63,0.128,0.54,8.518,7.828,7.519,6.46,1.048,10.636,1.621,1.822,3.898,6.571,1.567,2.26,5.637,7.522,3.336,1.46,4.098,8.052,2.174,8.611,1.465,0.538,4.385,3.324,9.218,2.973,7.868,8.808,9.292,1.271,7.769,6.429,2.072,8.825,8.363,6.744,4.371,0.449,4.261,4.378,3.876,4.188,0.581,0.968,0.739,1.742,10.452,9.635,0.746,7.537,8.397,1.751,1.557,7.126,9.819,2.462,0.275,4.221
n01440764_10042.JPEG,1.37,1.733,2.576,0.878,1.412,4.247,0.649,6.773,3.517,0.829,0.818,6.724,5.548,11.513,0.608,0.852,3.241,1.648,1.224,3.67,1.138,1.635,0.827,5.689,3.538,3.152,0.851,2.544,0.562,1.782,6.394,1.11,1.95,0.729,1.305,2.662,1.856,1.247,1.018,4.208,4.902,9.278,1.553,1.112,1.264,1.206,1.631,1.98,1.326,6.175,6.759,1.861,0.902,0.522,1.522,4.623,0.919,0.799,4.64,0.542,2.899,3.725,3.425,11.512,1.502,0.41,0.683,1.038,3.031,1.909,0.698,6.147,0.524,10.213,2.889,1.398,1.845,1.106,1.884,2.715
n01440764_10043.JPEG,8.064,3.619,1.639,0.527,11.121,10.382,10.571,5.141,1.463,0.242,10.492,5.357,10.842,6.376,0.166,1.926,5.955,7.716,4.609,5.517,0.38,2.143,9.337,3.958,10.161,2.624,1.828,9.369,2.815,0.343,3.58,4.728,2.596,3.406,5.052,6.134,3.855,6.2,3.823,6.363,3.107,9.383,2.191,0.615,4.345,3.058,10.167,3.591,9.545,8.751,9.326,3.393,5.737,0.885,1.858,8.044,7.718,3.99,4.263,0.999,1.04,3.742,3.727,5.349,1.513,1.131,3.713,3.486,9.374,9.591,0.448,9.507,6.738,5.844,4.751,8.004,7.615,2.077,0.268,5.75
n01440764_10048.JPEG,7.971,4.373,4.56,9.721,11.221,11.351,10.491,8.575,2.272,0.84,11.145,8.862,10.215,10.318,0.575,11.334,2.332,8.306,5.482,4.685,2.473,10.492,8.871,1.203,9.487,4.262,4.854,10.186,2.958,0.949,5.504,2.85,4.047,4.135,3.751,4.387,4.967,9.716,5.233,3.295,4.112,9.434,2.843,4.573,6.553,4.883,10.15,4.3,9.649,8.777,10.065,5.657,6.35,3.365,3.528,7.724,7.52,4.601,5.616,8.748,1.474,5.854,5.127,7.278,6.708,0.941,4.655,4.373,9.791,10.614,0.987,9.77,10.351,10.773,8.364,6.436,8.831,2.696,1.791,5.024
n01440764_10066.JPEG,10.47,6.056,0.704,0.497,7.844,11.271,9.8,11.509,3.448,0.328,11.407,11.508,10.4,11.511,0.243,0.423,3.725,9.379,5.857,4.225,0.739,1.247,8.226,5.836,10.218,4.851,3.547,10.883,1.791,2.237,7.106,1.104,3.669,4.609,2.479,5.167,6.735,0.684,6.607,6.832,4.725,10.507,4.535,1.481,7.011,5.065,10.209,5.373,9.433,8.184,9.874,3.585,8.156,4.098,3.614,8.681,6.734,5.005,6.067,0.848,1.839,7.787,6.562,9.472,1.59,2.905,1.245,5.801,9.816,9.68,2.321,8.304,0.754,10.244,5.374,6.284,9.305,1.035,5.531,5.751
n01440764_10074.JPEG,7.809,3.666,1.701,0.874,8.274,5.498,7.01,5.258,2.231,2.159,8.986,2.499,7.301,7.858,0.311,1.111,6.827,7.764,4.516,5.86,1.805,1.533,8.475,7.1,6.531,4.777,1.536,9.219,0.747,0.397,4.008,6.889,0.963,1.575,4.944,7.643,3.632,4.022,5.095,8.364,2.466,7.816,2.657,0.731,4.651,3.53,7.64,3.485,8.696,6.33,7.766,1.253,7.337,0.887,1.856,8.105,6.096,6.103,4.337,0.428,3.132,4.486,6.035,3.371,1.931,0.216,0.942,3.155,8.218,9.077,0.115,6.659,6.557,3.94,5.058,4.203,8.17,0.501,0.645,5.14
n01440764_1009.JPEG,7.083,2.325,4.203,0.301,10.483,10.946,9.475,5.289,0.337,0.69,11.321,5.314,10.127,4.635,0.389,1.255,3.282,9.141,2.526,5.129,0.125,0.8,7.176,3.203,10.029,1.112,2.524,9.959,0.223,1.124,2.333,3.607,0.498,0.279,3.321,4.373,0.588,1.564,2.745,5,0.458,7.626,0.535,1.163,0.82,0.606,9.103,0.57,9.526,9.403,9.296,0.291,1.82,0.712,0.58,6.737,7.12,3.486,0.426,2.783,1.405,2.77,0.774,2.571,0.426,1.368,0.311,1.851,9.89,9.132,1.278,8.317,7.089,5.09,4.878,4.157,9.426,2.896,0.478,3.468
