filename,lamb_Q3,lamb_Q2,lamb_Q1,R1_Count,Wrong_Count,Non_R1_Count
n01440764_10026.JPEG,8.3345,5.4125,2.9735,66,8,6
n01440764_10027.JPEG,11.43125,9.31,7.52775,73,5,2
n01440764_10029.JPEG,7.851,4.0755,1.08275,67,7,6
n01440764_10040.JPEG,7.914,4.2045,1.6075,66,8,6
n01440764_10042.JPEG,3.52225,1.6905,1.033,5,25,50
n01440764_10043.JPEG,7.7165,4.304,2.179,74,5,1
n01440764_10048.JPEG,9.44725,5.56,4.09575,74,3,3
n01440764_10066.JPEG,8.837,5.776,2.7985,72,6,2
n01440764_10074.JPEG,7.0325,4.501,1.84325,71,6,3
n01440764_1009.JPEG,7.0845,2.7765,0.7585,63,10,7
n01440764_10095.JPEG,6.16575,4.255,1.933,2,26,52
n01440764_10108.JPEG,6.50825,1.422,0.608,64,15,1
n01440764_10110.JPEG,8.246,3.4465,1.72525,74,2,4
n01440764_10120.JPEG,7.2795,3.778,2.0225,67,9,4
n01440764_10124.JPEG,11.42125,9.138,6.7585,76,3,1
n01440764_10150.JPEG,5.632,1.703,0.90175,74,4,2
n01440764_10159.JPEG,9.31225,7.6345,5.01,75,3,2
n01440764_10162.JPEG,8.20875,4.8605,2.46625,63,13,4
n01440764_10183.JPEG,10.18275,6.156,1.56025,51,19,10
n01440764_10194.JPEG,11.3715,8.9505,4.8355,68,7,5
n01440764_10211.JPEG,0.997,0.452,0.26225,36,26,18
n01440764_10218.JPEG,8.10775,3.6875,1.64375,72,6,2
n01440764_10227.JPEG,7.76075,5.379,2.39175,69,8,3
n01440764_1024.JPEG,4.972,1.833,0.6665,59,13,8
n01440764_10251.JPEG,6.89175,4.7545,2.02425,71,6,3
n01440764_10254.JPEG,5.0695,3.368,1.64075,70,4,6
n01440764_10281.JPEG,0.96475,0.317,0.17575,22,54,4
n01440764_10290.JPEG,6.2725,1.8285,0.97175,71,4,5
n01440764_10293.JPEG,4.61675,2.7405,0.77425,62,13,5
n01440764_10307.JPEG,8.49825,5.6935,2.983,64,9,7
n01440764_10317.JPEG,3.026,1.6035,0.59775,59,16,5
n01440764_10319.JPEG,3.00725,0.598,0.24575,2,38,40
n01440764_10320.JPEG,7.3225,3.684,1.12075,76,3,1
n01440764_10323.JPEG,6.74675,4.0175,2.336,73,3,4
n01440764_10331.JPEG,0.62575,0.3965,0.24775,5,62,13
n01440764_10342.JPEG,7.48825,4.6225,1.4705,64,8,8
n01440764_10361.JPEG,7.435,4.417,1.82175,63,9,8
n01440764_10365.JPEG,8.498,6.761,4.0415,73,4,3
n01440764_10373.JPEG,8.8845,6.175,1.70175,59,18,3
n01440764_10380.JPEG,5.428,1.034,0.50625,59,15,6
n01440764_10382.JPEG,10.8735,7.3615,3.97925,71,7,2
n01440764_10398.JPEG,6.555,4.24,1.6445,62,13,5
n01440764_10410.JPEG,4.39525,1.882,0.75525,47,21,12
n01440764_10427.JPEG,11.45425,10.0555,6.69575,74,4,2
n01440764_10444.JPEG,10.8735,8.6215,5.59975,75,4,1
n01440764_10449.JPEG,7.67275,5.674,2.71875,72,3,5
n01440764_10462.JPEG,9.6905,6.886,4.64625,71,4,5
n01440764_10464.JPEG,9.98525,7.5645,4.71575,73,5,2
n01440764_10470.JPEG,5.94325,1.299,0.56125,61,15,4
n01440764_10482.JPEG,5.952,4.127,1.234,64,6,10
n01440764_10491.JPEG,4.47875,1.096,0.6145,71,5,4
n01440764_105.JPEG,8.55475,4.7105,1.16875,60,15,5
n01440764_10514.JPEG,8.0075,3.243,1.601,70,5,5
n01440764_10529.JPEG,4.10625,0.921,0.4865,47,20,13
n01440764_10531.JPEG,8.56975,4.8985,1.2795,71,6,3
n01440764_10534.JPEG,7.007,2.5345,0.94225,60,19,1
n01440764_10542.JPEG,10.517,8.872,6.1555,70,5,5
n01440764_10543.JPEG,4.82375,0.77,0.41025,69,7,4
n01440764_10548.JPEG,7.4195,4.319,1.65,67,8,5
n01440764_10550.JPEG,5.204,1.654,0.6065,62,15,3
n01440764_10555.JPEG,5.14,2.668,0.8805,61,10,9
n01440764_10569.JPEG,7.4495,5.359,2.36675,67,5,8
n01440764_10587.JPEG,5.599,3.077,1.8345,71,6,3
n01440764_10592.JPEG,6.37925,4.3795,2.21125,69,8,3
n01440764_10604.JPEG,5.87225,2.345,0.982,68,6,6
n01440764_10619.JPEG,6.15325,0.892,0.39925,60,13,7
n01440764_1063.JPEG,2.79825,0.3035,0.1935,49,22,9
n01440764_10649.JPEG,6.813,4.3595,1.65925,58,15,7
n01440764_10667.JPEG,9.31175,6.006,4.40025,76,2,2
n01440764_10698.JPEG,2.03475,0.9255,0.5045,51,12,17
n01440764_107.JPEG,10.4625,4.1175,1.28375,33,44,3
n01440764_10716.JPEG,5.1635,3.1985,1.71175,72,2,6
n01440764_10726.JPEG,9.23075,7.516,5.3685,76,2,2
n01440764_10733.JPEG,7.037,4.44,1.5505,69,8,3
n01440764_10738.JPEG,4.09575,2.392,1.088,61,9,10
n01440764_10740.JPEG,8.742,6.871,4.034,74,2,4
n01440764_10744.JPEG,4.15325,1.016,0.441,38,35,7
n01440764_10756.JPEG,6.418,2.711,1.26825,75,2,3
n01440764_10779.JPEG,8.28625,3.824,1.362,72,5,3
n01440764_10783.JPEG,1.43725,0.2715,0.14975,26,45,9
n01440764_10787.JPEG,5.6695,2.1705,0.54325,61,17,2
n01440764_10792.JPEG,10.002,7.595,4.9535,74,3,3
n01440764_10812.JPEG,9.21175,6.348,2.99025,70,7,3
n01440764_10822.JPEG,7.006,2.396,1.049,65,5,10
n01440764_10845.JPEG,5.62125,2.8235,1.126,70,6,4
n01440764_10847.JPEG,5.8755,3.8485,2.14,77,2,1
n01440764_10852.JPEG,6.95525,2.883,1.93225,73,4,3
n01440764_10878.JPEG,8.164,5.5065,2.0785,67,8,5
n01440764_1091.JPEG,3.23675,1.253,0.52575,55,16,9
n01440764_10910.JPEG,3.7055,1.2285,0.63975,59,7,14
n01440764_10969.JPEG,9.97775,7.7755,5.7895,75,5,0
n01440764_10979.JPEG,7.49525,5.5135,2.8285,69,5,6
n01440764_10995.JPEG,7.32775,4.3905,1.44425,73,6,1
n01440764_11011.JPEG,9.14275,8.1245,5.2905,74,5,1
n01440764_11018.JPEG,7.6645,4.464,1.724,72,4,4
n01440764_11044.JPEG,5.96475,2.0055,0.80025,63,16,1
n01440764_11063.JPEG,8.4795,6.321,4.129,70,8,2
n01440764_1108.JPEG,8.6845,4.131,2.234,73,5,2
n01440764_11085.JPEG,8.48325,6.47,3.302,68,6,6
n01440764_1113.JPEG,8.66925,6.1355,3.207,76,3,1
n01440764_11145.JPEG,7.07675,4.5075,1.90025,72,5,3
n01440764_11151.JPEG,9.62775,7.462,4.97675,73,4,3
n01440764_11155.JPEG,5.74,0.5205,0.273,61,15,4
n01440764_11170.JPEG,6.431,2.4865,0.86,71,4,5
n01440764_11190.JPEG,7.641,4.218,2.973,75,2,3
n01440764_11211.JPEG,10.93225,8.5955,5.503,74,5,1
n01440764_11213.JPEG,8.48425,5.0975,2.27025,69,5,6
n01440764_11225.JPEG,7.1735,4.1175,1.53775,69,5,6
n01440764_11281.JPEG,6.539,4.675,2.15875,72,1,7
n01440764_11314.JPEG,7.48675,3.866,1.45575,68,6,6
n01440764_11331.JPEG,8.47,4.82,2.29225,72,5,3
n01440764_11335.JPEG,7.8915,3.355,0.9015,51,21,8
n01440764_11339.JPEG,5.27825,2.773,1.14,67,3,10
n01440764_11346.JPEG,7.5755,3.581,1.3075,72,6,2
n01440764_1135.JPEG,7.05325,3.5415,1.01475,70,6,4
n01440764_11350.JPEG,6.475,3.4105,1.058,65,11,4
n01440764_11396.JPEG,10.76975,8.444,5.113,68,9,3
n01440764_11400.JPEG,4.671,1.96,0.89425,75,4,1
n01440764_1141.JPEG,4.084,1.963,1.24975,64,5,11
n01440764_11420.JPEG,8.411,5.456,4.022,73,3,4
n01440764_11424.JPEG,7.64025,4.6385,1.16975,63,13,4
n01440764_11444.JPEG,9.79175,8.255,6.03525,73,5,2
n01440764_1145.JPEG,7.8175,4.4665,2.83175,75,3,2
n01440764_11469.JPEG,8.29775,5.7335,2.8305,72,4,4
n01440764_11486.JPEG,5.857,2.698,1.53775,72,5,3
n01440764_11507.JPEG,5.796,2.4485,0.912,58,13,9
n01440764_11534.JPEG,7.45575,4.3745,0.9315,61,16,3
n01440764_11537.JPEG,3.90075,1.3165,0.68,61,4,15
n01440764_1154.JPEG,7.92975,5.499,2.96125,68,8,4
n01440764_11547.JPEG,0.9145,0.4425,0.27675,32,34,14
n01440764_1155.JPEG,8.07625,2.2255,0.97125,70,8,2
n01440764_11566.JPEG,8.77075,5.233,2.231,74,6,0
n01440764_11570.JPEG,6.20075,2.5365,0.761,60,13,7
n01440764_11586.JPEG,5.5965,0.841,0.3275,63,9,8
n01440764_11588.JPEG,10.3915,7.9065,5.88725,73,4,3
n01440764_11590.JPEG,9.22975,6.4735,2.4535,65,10,5
n01440764_11593.JPEG,6.38525,3.9245,1.29375,66,7,7
n01440764_11602.JPEG,8.16125,4.5785,2.98625,75,3,2
n01440764_11607.JPEG,9.6555,7.4495,1.10175,58,18,4
n01440764_11609.JPEG,6.56475,2.383,1.11025,72,4,4
n01440764_11612.JPEG,1.44675,0.924,0.52375,26,39,15
n01440764_11626.JPEG,8.37375,5.312,2.82875,75,3,2
n01440764_11636.JPEG,8.03925,4.9325,2.4895,74,6,0
n01440764_11650.JPEG,5.93375,3.2255,1.425,68,4,8
n01440764_11652.JPEG,6.18625,3.9655,1.161,67,6,7
n01440764_11656.JPEG,9.2655,6.4195,3.659,73,6,1
n01440764_11665.JPEG,9.1685,7.158,4.54875,70,4,6
n01440764_11667.JPEG,5.87925,2.189,0.92325,63,6,11
n01440764_11668.JPEG,2.305,1.571,0.8735,55,2,23
n01440764_11673.JPEG,3.253,0.429,0.2285,54,12,14
n01440764_11677.JPEG,4.1175,1.3455,0.529,57,15,8
n01440764_11679.JPEG,8.62225,4.6065,2.10475,74,5,1
n01440764_11723.JPEG,3.793,1.058,0.57575,55,15,10
n01440764_11726.JPEG,3.50525,2.471,1.07825,57,15,8
n01440764_11734.JPEG,3.9475,1.9795,0.94625,65,9,6
n01440764_11736.JPEG,11.27575,8.811,4.55475,72,4,4
n01440764_11745.JPEG,7.992,6.016,2.3795,68,8,4
n01440764_11750.JPEG,4.93725,2.9005,1.20625,60,18,2
n01440764_11762.JPEG,7.34275,3.0135,1.41475,72,7,1
n01440764_11787.JPEG,8.312,5.2145,3.8135,77,1,2
n01440764_11797.JPEG,7.695,3.6405,1.6655,68,6,6
n01440764_11807.JPEG,9.668,6.927,4.42275,70,5,5
n01440764_11816.JPEG,5.64875,3.566,1.52375,63,6,11
n01440764_11825.JPEG,8.44775,5.3635,2.68725,75,4,1
n01440764_11830.JPEG,7.05225,5.3675,2.94975,75,4,1
n01440764_11838.JPEG,8.55575,6.777,4.415,74,4,2
n01440764_11841.JPEG,7.195,3.385,1.0525,65,12,3
n01440764_1185.JPEG,4.0055,2.4085,1.13975,71,1,8
n01440764_11881.JPEG,9.803,7.1815,3.534,72,5,3
n01440764_11887.JPEG,10.0135,7.136,4.72075,76,1,3
n01440764_11897.JPEG,7.05125,3.302,1.085,71,5,4
n01440764_11905.JPEG,9.63275,6.97,4.76625,73,5,2
n01440764_11914.JPEG,9.589,6.8325,4.9115,71,4,5
n01440764_11930.JPEG,6.88375,4.0555,2.0975,71,4,5
n01440764_11972.JPEG,9.6905,7.4215,5.61475,72,5,3
n01440764_11974.JPEG,8.86025,5.9685,2.5745,68,5,7
n01440764_11987.JPEG,8.80075,5.536,1.89625,67,9,4
n01440764_12021.JPEG,8.048,4.124,2.12625,76,4,0
n01440764_12023.JPEG,10.0395,7.86,5.7815,75,3,2
n01440764_12037.JPEG,6.72425,2.908,0.9055,64,9,7
n01440764_12040.JPEG,7.191,4.525,2.0405,70,6,4
n01440764_12063.JPEG,5.10775,1.3195,0.6415,66,8,6
n01440764_12069.JPEG,8.79225,6.089,2.2185,61,18,1
n01440764_12077.JPEG,8.3775,5.8735,3.689,76,3,1
n01440764_12090.JPEG,7.197,1.069,0.53725,60,17,3
n01440764_12100.JPEG,8.55075,4.4495,2.00675,71,5,4
n01440764_12111.JPEG,8.98275,7.162,4.40725,75,2,3
n01440764_12129.JPEG,2.675,1.4415,0.8305,25,21,34
n01440764_12131.JPEG,8.62825,3.733,1.06475,58,20,2
n01440764_12151.JPEG,5.37575,2.655,1.51175,76,1,3
n01440764_12157.JPEG,8.45575,3.337,1.24,72,4,4
n01440764_12178.JPEG,9.7695,7.5635,3.962,72,2,6
n01440764_12182.JPEG,7.3965,4.0115,2.76275,73,4,3
n01440764_12188.JPEG,7.17275,1.7255,0.60775,71,6,3
n01440764_12204.JPEG,9.91775,7.9935,5.2555,69,7,4
n01440764_12208.JPEG,8.14275,5.4125,3.86075,76,1,3
n01440764_12211.JPEG,3.74325,1.761,0.809,48,15,17
n01440764_12239.JPEG,6.403,3.2105,0.8525,62,11,7
n01440764_12241.JPEG,7.22775,2.4395,1.082,67,10,3
n01440764_12250.JPEG,6.9375,2.659,1.3395,74,4,2
n01440764_12255.JPEG,9.79875,7.6405,5.2395,73,6,1
n01440764_12276.JPEG,7.914,5.0365,2.60775,66,9,5
n01440764_12279.JPEG,6.36425,4.806,2.99175,71,2,7
n01440764_12283.JPEG,8.53,4.744,3.59375,75,4,1
n01440764_12289.JPEG,6.61025,3.3575,0.86975,62,16,2
n01440764_12291.JPEG,7.532,5.4265,1.71125,67,7,6
n01440764_12293.JPEG,2.5,1.251,0.54525,60,9,11
n01440764_12308.JPEG,7.71275,5.6185,3.35025,70,6,4
n01440764_12314.JPEG,6.84275,3.0335,0.8465,50,23,7
n01440764_1232.JPEG,11.2205,9.087,6.38675,73,4,3
n01440764_12329.JPEG,7.98375,4.62,2.47,73,4,3
n01440764_12339.JPEG,6.91725,4.125,1.31025,67,5,8
n01440764_12362.JPEG,11.2565,8.8235,6.359,76,2,2
n01440764_12384.JPEG,6.073,3.014,0.9175,60,16,4
n01440764_12388.JPEG,8.33075,5.0495,3.8475,73,2,5
n01440764_12405.JPEG,6.113,2.234,0.8875,65,10,5
n01440764_12423.JPEG,8.41275,4.653,2.24175,67,6,7
n01440764_12433.JPEG,6.782,2.119,1.07975,69,10,1
n01440764_12435.JPEG,8.48775,4.0245,1.831,74,5,1
n01440764_1244.JPEG,6.28475,1.6565,0.847,70,8,2
n01440764_12446.JPEG,6.08075,3.264,1.424,72,4,4
n01440764_1245.JPEG,6.38,3.733,1.862,68,6,6
n01440764_12468.JPEG,7.6805,3.9895,2.175,73,5,2
n01440764_12494.JPEG,6.75225,2.3505,1.29175,74,4,2
n01440764_12498.JPEG,7.0745,4.972,2.78625,67,9,4
n01440764_12502.JPEG,7.75625,3.888,2.49775,77,3,0
n01440764_12523.JPEG,6.125,3.301,0.90175,59,17,4
n01440764_12534.JPEG,9.97025,7.73,4.99925,71,6,3
n01440764_12548.JPEG,8.51825,6.9405,3.98975,73,3,4
n01440764_12554.JPEG,4.30875,2.2645,1.108,2,11,67
n01440764_12557.JPEG,3.317,2.078,0.96225,54,5,21
n01440764_12571.JPEG,11.2315,9.3205,6.87875,75,3,2
n01440764_12572.JPEG,5.75125,3.5645,1.6,73,3,4
n01440764_12573.JPEG,7.4035,5.826,3.44125,70,2,8
n01440764_12586.JPEG,8.34325,6.089,2.6655,72,5,3
n01440764_12595.JPEG,4.38475,1.7545,0.7495,63,12,5
n01440764_12619.JPEG,6.62775,4.682,2.19875,67,4,9
n01440764_12620.JPEG,2.244,0.5265,0.25775,46,13,21
n01440764_1263.JPEG,1.40475,0.9165,0.56525,41,11,28
n01440764_12632.JPEG,8.905,7.203,5.586,76,1,3
n01440764_12635.JPEG,7.77275,4.622,2.52975,76,3,1
n01440764_12659.JPEG,3.704,2.0055,1.3095,65,3,12
n01440764_12689.JPEG,7.60275,5.589,2.92375,75,2,3
n01440764_12702.JPEG,6.979,4.0275,2.46425,73,6,1
n01440764_12708.JPEG,7.29925,4.4445,1.918,73,4,3
n01440764_1272.JPEG,7.012,4.0325,2.712,60,18,2
n01440764_12732.JPEG,9.385,6.8915,4.62675,75,3,2
n01440764_1278.JPEG,8.26575,6.1295,3.61375,69,6,5
n01440764_12785.JPEG,6.8875,4.752,1.689,71,5,4
n01440764_12817.JPEG,10.142,8.368,5.25425,74,3,3
n01440764_1284.JPEG,6.4385,2.845,1.15575,70,6,4
n01440764_12848.JPEG,8.1105,3.2705,0.775,58,17,5
n01440764_12881.JPEG,10.78075,8.295,6.06875,75,3,2
n01440764_12889.JPEG,8.527,5.1555,3.112,67,7,6
