filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_10026.JPEG,3.672,4.651,3.062,4.97,9.068,3.178,9.974,8.158,8.105,3.265,0.929,2.385
n01440764_10027.JPEG,4.373,9.305,2.625,4.313,11.175,0.506,10.569,6.29,9.122,9.131,9.098,8.351
n01440764_10029.JPEG,7.325,6.064,6.091,4.196,11.279,0.633,11.015,9.889,8.651,6.745,4.817,6.162
n01440764_10040.JPEG,8.052,7.828,6.46,0.968,9.921,0.48,9.077,4.221,7.66,4.63,5.637,6.744
n01440764_10042.JPEG,4.208,5.689,3.152,0.41,1.412,0.829,5.548,2.715,1.648,3.67,1.305,0.799
n01440764_10043.JPEG,6.363,3.958,2.624,1.131,11.121,0.242,10.842,5.75,7.716,5.517,5.052,3.99
n01440764_10048.JPEG,3.295,1.203,4.262,0.941,11.221,0.84,10.215,5.024,8.306,4.685,3.751,4.601
n01440764_10066.JPEG,6.832,5.836,4.851,2.905,7.844,0.328,10.4,5.751,9.379,4.225,2.479,5.005
n01440764_10074.JPEG,8.364,7.1,4.777,0.216,8.274,2.159,7.301,5.14,7.764,5.86,4.944,6.103
n01440764_1009.JPEG,5,3.203,1.112,1.368,10.483,0.69,10.127,3.468,9.141,5.129,3.321,3.486
n01440764_10095.JPEG,4.368,6.702,4.848,0.275,2.348,1.311,2.402,1.453,4.673,5.289,3.972,5.361
n01440764_10108.JPEG,1.92,0.913,0.936,1.437,6.953,0.43,10.465,6.734,7.725,2.947,2.319,2.53
n01440764_10110.JPEG,0.756,0.482,1.726,0.165,10.069,0.423,10.501,9.105,7.447,1.157,1.597,1.722
n01440764_10120.JPEG,3.048,0.861,4.234,3.294,10.205,1.005,11.117,5.865,7.931,3.158,2.641,4.709
n01440764_10124.JPEG,4.75,6.629,7.644,5.595,8.364,2.417,10.181,7.244,7.834,10.634,10.008,10.731
n01440764_10150.JPEG,1.151,0.517,0.988,0.17,9.908,0.188,10.986,8.168,8.325,1.789,1.484,1.164
n01440764_10159.JPEG,6.708,4.099,5.611,0.822,8.868,0.412,10.691,4.598,7.624,6.994,3.667,5.886
n01440764_10162.JPEG,8.527,7.089,6.084,1.944,9.608,0.411,10.841,6.439,8.232,7.6,7.404,6.948
n01440764_10183.JPEG,11.443,10.842,10.275,0.565,7.832,2.583,11.044,8.002,4.548,10.441,10.09,10.946
n01440764_10194.JPEG,4.862,7.164,4.756,0.559,8.259,2.274,9.148,9.633,6.986,10.195,10.369,10.333
n01440764_10211.JPEG,0.763,0.812,0.345,1.289,1.985,0.465,7.566,1.289,5.852,0.803,0.46,0.649
n01440764_10218.JPEG,4.942,1.793,3.656,2.363,5.598,1.369,11.124,6.498,8.47,1.687,0.961,5.074
n01440764_10227.JPEG,5.447,7.543,8.211,0.143,8.199,0.727,8.048,6.161,7.489,6.949,6.48,6.355
n01440764_1024.JPEG,4.966,3.44,1.511,0.229,3.244,2.234,9.548,3.03,7.009,6.812,5.438,3.111
n01440764_10251.JPEG,7.548,8.563,5.21,0.14,9.095,1.62,7.684,4.931,8.339,6.85,6.617,6.519
n01440764_10254.JPEG,6.394,5.011,3.718,0.241,9.206,0.569,4.788,4.037,7.247,3.073,4.597,3.155
n01440764_10281.JPEG,0.229,0.176,0.132,0.282,10.319,0.65,10.459,3.979,7.876,0.25,0.147,0.174
n01440764_10290.JPEG,2.089,0.483,1.137,0.773,10.552,0.908,8.983,3.403,9.317,1.613,1.918,1.98
n01440764_10293.JPEG,3.405,0.819,1.987,0.327,10.101,0.712,10.739,5.764,6.145,1.104,1.43,1.978
n01440764_10307.JPEG,6.011,4.168,5.252,1.253,8.562,0.835,10.411,8.386,8.006,6.904,4.986,7.18
n01440764_10317.JPEG,0.974,0.941,1.632,1.532,9.823,0.834,9.724,6.667,6.971,3.48,2.44,2.964
n01440764_10319.JPEG,0.13,0.12,0.251,0.263,0.945,0.367,7.035,1.256,4.21,0.705,0.519,0.946
n01440764_10320.JPEG,5.067,3.739,1.072,0.525,8.898,0.353,11.08,3.919,6.403,3.565,4.298,3.678
n01440764_10323.JPEG,6.661,5.891,4.296,0.156,8.123,0.686,9.02,5.436,7.922,4.518,4.334,4.181
n01440764_10331.JPEG,0.348,0.361,0.115,0.47,0.113,0.233,0.685,1.469,3.179,0.704,0.576,0.192
n01440764_10342.JPEG,7.228,5.609,3.807,0.164,7.877,1.463,11.207,3.619,7.276,5.621,5.854,5.161
n01440764_10361.JPEG,7.565,7.971,5.089,0.223,8.076,0.278,8.577,5.968,8.105,6.533,3.863,6.689
n01440764_10365.JPEG,5.909,6.554,2.665,0.318,9.999,0.522,10.046,6.751,7.161,6.433,4.855,6.771
n01440764_10373.JPEG,8.06,9.353,8.852,2.006,4.725,0.703,10.765,4.695,8.293,6.913,1.228,6.433
n01440764_10380.JPEG,0.387,0.065,0.538,0.09,7.255,1.23,10.717,5.187,5.662,1.349,0.634,0.298
n01440764_10382.JPEG,5.662,4.516,2.788,4.706,5.684,1.137,11.029,4.119,7.945,3.172,2.336,8.985
n01440764_10398.JPEG,6.541,5.247,4.993,1.364,3.992,2.008,11.005,4.702,5.047,6.597,6.388,4.833
n01440764_10410.JPEG,3.379,3.949,2.143,0.603,5.786,0.908,9.63,7.294,5.287,2.523,0.723,0.345
n01440764_10427.JPEG,11.452,10.628,10.169,2.254,10.593,0.602,9.336,6.005,8.846,9.941,10.062,9.98
n01440764_10444.JPEG,4.568,5.708,5.264,0.672,8.621,0.56,10.664,8.944,8.772,7.547,8.622,9.181
n01440764_10449.JPEG,8.954,8.346,7.14,2.829,2.11,1.678,10.98,1.885,8.714,7.717,6.473,6.522
n01440764_10462.JPEG,5.604,9.172,7.004,0.458,6.763,0.324,8.873,5.899,5.484,6.646,3.78,10.018
n01440764_10464.JPEG,5.628,6.811,7.557,4.982,10.508,0.786,10.618,6.572,8.817,6.716,7.05,7.169
n01440764_10470.JPEG,0.563,0.181,0.526,1.131,10.335,1.081,11.036,6.824,8.46,0.7,0.43,0.518
n01440764_10482.JPEG,5.365,1.957,4.921,0.393,9.956,0.747,5.761,6.245,7.457,4.5,2.974,3.317
n01440764_10491.JPEG,1.948,0.917,1.423,0.245,7.997,0.437,5.43,5.803,7.295,2.349,1.836,1.299
n01440764_105.JPEG,8.581,7.156,4.144,0.351,8.661,0.274,11.306,5.747,3.316,6.148,5.481,8.021
n01440764_10514.JPEG,3.677,1.673,2.933,0.328,11.22,0.115,11.152,6.767,8.568,4.254,2.951,4.252
n01440764_10529.JPEG,1.311,0.252,0.543,4.242,8.032,1.073,11.296,5.315,7.045,2.051,1.028,0.759
n01440764_10531.JPEG,7.826,6.326,5.723,0.232,9.669,0.647,10.67,7.179,5.221,8.587,6.135,5.688
n01440764_10534.JPEG,3.769,0.708,1.603,0.236,11.124,0.33,10.753,3.999,8.654,3.302,2.16,3.186
n01440764_10542.JPEG,5.228,9.97,8.076,3.307,10.389,0.937,10.455,6.472,8.339,4.389,4.957,6.859
n01440764_10543.JPEG,1.455,1.266,0.983,0.957,8.998,1.187,7.829,5.77,6.313,3.063,2.392,1.841
n01440764_10548.JPEG,8.395,7.303,5.087,0.206,5.596,2.156,10.932,7.544,7.674,4.873,5.005,6.367
n01440764_10550.JPEG,3.654,3.919,2.43,4.469,9.807,0.881,10.595,7.91,9.743,4.365,3.773,3.181
n01440764_10555.JPEG,1.144,1.12,0.41,0.67,6.311,1.161,9.523,2.107,3.07,5.037,3.963,4.443
n01440764_10569.JPEG,9.101,5.121,4.768,0.431,5.335,6.564,9.677,7.592,7.607,4.255,7.484,6.42
n01440764_10587.JPEG,3.953,2.351,1.542,0.178,9.409,0.828,10.313,5.678,3.162,3.905,2.66,2.225
n01440764_10592.JPEG,3.094,3.166,6.767,3.727,6.327,1.536,10.116,5.451,6.075,4.212,2.581,3.793
