filename,p0,p1,p2,p3,p4,correct_idx,lambda
n01440764_10027.JPEG,0.42265,0.03018,0.02443,0.01696,0.01091,0,4.1986
n01440764_10043.JPEG,0.35835,0.08111,0.07128,0.01195,0.00984,1,2.0096
n01440764_10048.JPEG,0.44237,0.06361,0.0111,0.00785,0.00741,0,3.2062
n01440764_10066.JPEG,0.11912,0.11912,0.05563,0.022,0.02174,-1,0.6819
n01440764_10074.JPEG,0.50057,0.04278,0.02079,0.01529,0.00676,0,3.9695
n01440764_10110.JPEG,0.55567,0.00891,0.00495,0.00433,0.00332,0,6.8586
n01440764_10124.JPEG,0.61296,0.0915,0.01056,0.01011,0.00581,0,3.1752
n01440764_10159.JPEG,0.47516,0.0101,0.00862,0.00798,0.00677,0,6.3566
n01440764_10218.JPEG,0.60197,0.26503,0.00434,0.00316,0.00187,0,1.7831
n01440764_10227.JPEG,0.30405,0.0781,0.07548,0.0635,0.03139,1,1.4018
n01440764_10251.JPEG,0.27642,0.15559,0.02512,0.01269,0.01023,0,1.3806
n01440764_10320.JPEG,0.67683,0.02408,0.00808,0.00594,0.00581,0,5.5226
n01440764_10323.JPEG,0.53109,0.06928,0.00706,0.00541,0.00379,0,3.4007
n01440764_10365.JPEG,0.08284,0.07534,0.03253,0.03133,0.02708,1,0.5502
n01440764_10382.JPEG,0.53884,0.01977,0.01031,0.00863,0.00761,0,5.4454
n01440764_10427.JPEG,0.41197,0.12085,0.05909,0.0233,0.0121,0,1.8553
n01440764_10444.JPEG,0.58592,0.1006,0.03099,0.02855,0.01472,0,2.8226
n01440764_10449.JPEG,0.30964,0.11281,0.04431,0.02345,0.01661,0,1.6082
n01440764_10462.JPEG,0.09673,0.07515,0.05942,0.04192,0.03551,-1,0.432
n01440764_10464.JPEG,0.49311,0.0224,0.01451,0.00983,0.00799,0,5.0545
n01440764_10514.JPEG,0.53387,0.03671,0.01759,0.00904,0.00787,0,4.3599
n01440764_10531.JPEG,0.19839,0.0281,0.01181,0.01133,0.01105,0,3.0792
n01440764_10542.JPEG,0.44045,0.02891,0.00495,0.00436,0.00435,1,4.5129
n01440764_10667.JPEG,0.5079,0.00973,0.00894,0.0057,0.00498,0,6.5322
n01440764_10726.JPEG,0.55966,0.04398,0.01518,0.01503,0.01132,0,4.1576
n01440764_10733.JPEG,0.25498,0.1091,0.04277,0.00769,0.00539,1,1.4997
n01440764_10740.JPEG,0.44835,0.11622,0.06117,0.01774,0.01396,1,2.0285
n01440764_10779.JPEG,0.5961,0.00319,0.0029,0.00267,0.00247,0,8.701
n01440764_10792.JPEG,0.45514,0.03747,0.00843,0.00479,0.00447,0,4.1185
n01440764_10812.JPEG,0.06162,0.03711,0.03401,0.03378,0.02487,0,0.3677
n01440764_10852.JPEG,0.60554,0.04166,0.00475,0.00315,0.003,0,4.4489
n01440764_10969.JPEG,0.36177,0.24001,0.1179,0.01441,0.01097,1,1.0433
n01440764_10979.JPEG,0.36686,0.22169,0.0341,0.01786,0.01638,-1,1.3201
n01440764_10995.JPEG,0.32812,0.20121,0.05202,0.02233,0.01602,1,1.2139
n01440764_11011.JPEG,0.58614,0.00567,0.00384,0.00328,0.0025,0,7.7087
n01440764_11018.JPEG,0.48555,0.08333,0.01809,0.00973,0.00788,1,2.899
n01440764_11063.JPEG,0.2251,0.06543,0.04895,0.0408,0.02197,-1,1.4445
n01440764_1108.JPEG,0.59463,0.29085,0.00188,0.00161,0.00126,0,1.6866
n01440764_1113.JPEG,0.57565,0.00702,0.00571,0.00524,0.00477,0,7.3111
n01440764_11145.JPEG,0.24242,0.14825,0.03886,0.03494,0.02827,1,1.1037
n01440764_11151.JPEG,0.13346,0.07118,0.04775,0.04767,0.04296,-1,0.6202
n01440764_11190.JPEG,0.53694,0.00877,0.00666,0.0065,0.00451,0,6.8156
n01440764_11211.JPEG,0.42635,0.02755,0.0268,0.01795,0.01548,0,4.3425
n01440764_11213.JPEG,0.41717,0.02287,0.0109,0.00868,0.00841,0,4.7548
n01440764_11225.JPEG,0.41506,0.08235,0.02308,0.01226,0.01067,0,2.622
n01440764_11314.JPEG,0.69377,0.00446,0.00315,0.00299,0.00249,0,8.3964
n01440764_11331.JPEG,0.55934,0.01006,0.00861,0.00761,0.00556,0,6.6447
n01440764_11346.JPEG,0.57963,0.00642,0.00527,0.0049,0.00289,0,7.4743
n01440764_1135.JPEG,0.50526,0.03723,0.03227,0.01945,0.00961,0,4.1257
n01440764_11420.JPEG,0.5545,0.01953,0.0098,0.00493,0.00395,0,5.5197
n01440764_11444.JPEG,0.61339,0.03063,0.00618,0.00461,0.00406,0,4.9678
n01440764_1145.JPEG,0.69517,0.07394,0.01551,0.01147,0.00438,0,3.6906
n01440764_11469.JPEG,0.15036,0.09895,0.08271,0.07278,0.03509,2,0.4999
n01440764_1154.JPEG,0.61334,0.00956,0.00874,0.00797,0.0071,0,6.8871
n01440764_1155.JPEG,0.23428,0.16927,0.01283,0.00801,0.00706,0,1.2605
n01440764_11566.JPEG,0.42615,0.05107,0.04518,0.02616,0.02528,0,3.1621
n01440764_11588.JPEG,0.692,0.14871,0.01555,0.0034,0.00323,0,2.6326
n01440764_11602.JPEG,0.66807,0.08668,0.01048,0.0086,0.00769,0,3.3994
n01440764_11626.JPEG,0.36271,0.1688,0.0088,0.00325,0.00233,0,1.6935
n01440764_11636.JPEG,0.48242,0.05155,0.01693,0.01018,0.0083,0,3.637
n01440764_11656.JPEG,0.41386,0.10646,0.03197,0.03024,0.01756,0,2.1566
n01440764_11665.JPEG,0.10891,0.03457,0.0253,0.02055,0.01686,-1,1.2812
n01440764_11679.JPEG,0.51206,0.05243,0.0115,0.00352,0.00339,1,3.7559
n01440764_11736.JPEG,0.27966,0.26496,0.10096,0.00519,0.00373,0,0.9125
n01440764_11762.JPEG,0.37625,0.07804,0.04792,0.02413,0.01635,-1,2.2906
n01440764_11787.JPEG,0.47843,0.00868,0.0059,0.00547,0.00446,0,6.6409
n01440764_11807.JPEG,0.60559,0.02395,0.01227,0.00864,0.00515,0,5.3175
n01440764_11825.JPEG,0.3819,0.01296,0.00767,0.00717,0.00694,0,5.5712
n01440764_11830.JPEG,0.34422,0.09585,0.07249,0.03069,0.02906,0,1.6535
n01440764_11838.JPEG,0.43027,0.1554,0.01208,0.00525,0.00502,1,1.9478
n01440764_11881.JPEG,0.49364,0.0491,0.01102,0.00834,0.00618,-1,3.7972
n01440764_11887.JPEG,0.38723,0.00861,0.00815,0.0071,0.00659,0,6.2714
n01440764_11897.JPEG,0.37103,0.01734,0.01301,0.01257,0.01103,0,4.9835
n01440764_11905.JPEG,0.82667,0.008,0.00257,0.00172,0.00168,0,7.7198
n01440764_11914.JPEG,0.54158,0.01271,0.01056,0.00372,0.00371,0,6.1884
n01440764_11930.JPEG,0.49945,0.02348,0.00408,0.00251,0.00225,0,5.0745
n01440764_11972.JPEG,0.28058,0.13924,0.02585,0.01877,0.01657,0,1.4437
n01440764_11974.JPEG,0.38205,0.13252,0.07035,0.03475,0.03186,0,1.5253
n01440764_12021.JPEG,0.45528,0.42673,0.00258,0.00221,0.00129,1,1.1723
n01440764_12023.JPEG,0.22997,0.17635,0.01691,0.01555,0.01486,0,1.1616
n01440764_12040.JPEG,0.36519,0.14857,0.05332,0.05045,0.02279,3,1.4283
n01440764_12077.JPEG,0.45747,0.01333,0.01094,0.01093,0.00863,0,5.8104
n01440764_12100.JPEG,0.38632,0.00656,0.00633,0.00518,0.00388,0,6.7371
n01440764_12111.JPEG,0.2659,0.02274,0.01774,0.01653,0.01409,0,3.857
n01440764_12157.JPEG,0.64843,0.19308,0.0054,0.00209,0.00132,0,2.2345
n01440764_12178.JPEG,0.19897,0.09021,0.07788,0.07548,0.03168,0,0.7244
n01440764_12182.JPEG,0.39759,0.07615,0.00592,0.00536,0.00432,1,2.8104
